config_id,entity_type,horizon,lower,upper,records,dates,mean_return,status
F0_BALANCED,stock,5,0.0,20.0,0,0,,OK
F0_BALANCED,stock,5,20.0,35.0,11,10,-0.006517132864207601,OK
F0_BALANCED,stock,5,35.0,50.0,986,245,0.0006163679626362941,OK
F0_BALANCED,stock,5,50.0,65.0,477,211,-0.0002718569783497095,OK
F0_BALANCED,stock,5,65.0,80.0,2,2,0.009569847950614663,OK
F0_BALANCED,stock,5,80.0,100.0,0,0,,OK
F1_TREND,stock,5,0.0,20.0,0,0,,OK
F1_TREND,stock,5,20.0,35.0,16,15,-0.0025643689742039996,OK
F1_TREND,stock,5,35.0,50.0,983,245,0.0006336827128264924,OK
F1_TREND,stock,5,50.0,65.0,475,208,-0.000369485541349236,OK
F1_TREND,stock,5,65.0,80.0,2,2,0.009569847950614663,OK
F1_TREND,stock,5,80.0,100.0,0,0,,OK
F2_STRUCTURE,stock,5,0.0,20.0,0,0,,OK
F2_STRUCTURE,stock,5,20.0,35.0,25,23,-0.0042240570931477575,OK
F2_STRUCTURE,stock,5,35.0,50.0,1019,246,0.0007689940588134406,OK
F2_STRUCTURE,stock,5,50.0,65.0,430,198,-0.0006316952270277003,OK
F2_STRUCTURE,stock,5,65.0,80.0,2,2,0.009569847950614663,OK
F2_STRUCTURE,stock,5,80.0,100.0,0,0,,OK
