factor_id,horizon,mean_rank_ic,signal_dates
F01,1,0.01666666666666666,504
F01,3,0.002721088435374145,504
F01,5,0.02800453514739229,504
F02,1,-0.011904761904761904,504
F02,3,0.008730158730158732,504
F02,5,0.014399092970521544,504
F03,1,0.013038548752834467,504
F03,3,0.005668934240362809,504
F03,5,0.017120181405895694,504
F04,1,0.025170068027210887,504
F04,3,0.002494331065759638,504
F04,5,0.028571428571428564,504
F05,1,0.025170068027210887,504
F05,3,0.002494331065759638,504
F05,5,0.028571428571428564,504
F06,1,-0.014965986394557823,504
F06,3,-0.017460317460317457,504
F06,5,-0.006009070294784577,504
F07,1,-0.012244897959183676,504
F07,3,-0.013378684807256234,504
F07,5,0.006575963718820859,504
F08,1,-0.022904332082211213,383
F08,3,-0.001025567108158711,383
F08,5,-0.010597526784306685,383
F09,1,0.005215419501133776,504
F09,3,-0.002154195011337868,504
F09,5,-0.021088435374149665,504
F10,1,0.017145691375685116,504
F10,3,-0.007273929674533084,504
F10,5,0.00779349607985687,504
F11,1,-0.013985931996265537,493
F11,3,-0.001326350049520746,493
F11,5,0.03244817682756848,493
F12,1,,0
F12,3,,0
F12,5,,0
F13,1,,0
F13,3,,0
F13,5,,0
F14,1,,0
F14,3,,0
F14,5,,0
F15,1,,0
F15,3,,0
F15,5,,0
