entity_type,factor_id,rows,available_rows,missing_rate
stock,F01,3846,3726,0.03120124804992197
stock,F02,3846,3486,0.09360374414976602
stock,F03,3846,3492,0.09204368174726985
stock,F04,3846,3726,0.03120124804992197
stock,F05,3846,3726,0.03120124804992197
stock,F06,3846,3726,0.03120124804992197
stock,F07,3846,3732,0.029641185647425905
stock,F08,3846,3822,0.006240249609984372
stock,F09,3846,3726,0.03120124804992197
stock,F10,3846,3732,0.029641185647425905
stock,F11,3846,3816,0.007800312012480548
stock,F12,3846,3726,0.03120124804992197
stock,F13,3846,3732,0.029641185647425905
stock,F14,3846,3732,0.029641185647425905
stock,F15,3846,3726,0.03120124804992197
stock,Q01,3846,3762,0.021840873634945357
stock,Q02,3846,3726,0.03120124804992197
stock,Q03,3846,3732,0.029641185647425905
stock,Q04,3846,3840,0.0015600624024960652
stock,Q05,3846,3732,0.029641185647425905
stock,Q06,3846,3840,0.0015600624024960652
