order_id,run_id,account_id,code,side,quantity,earliest_trade_date,price_ceiling_floor,status,reason_codes_json,reason_codes,candidate_id,split,signal_date
,,,600000.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,601398.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,300001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,000002.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,000001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,688001.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM')",F0_BALANCED,validation,20251225
,,,601398.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,000001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,300001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,000002.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,600000.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,688001.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251226
,,,300001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
,,,600000.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
,,,688001.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
,,,601398.SH,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
,,,000001.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
,,,000002.SZ,,,,,BLOCKED,,"('NO_EXECUTABLE_ACTION', 'NET_EDGE_BELOW_MINIMUM', 'MARKET_EXPOSURE_CAP_ZERO')",F0_BALANCED,validation,20251229
